repo_name,commit,subject,message,bug_fix_regex_count,valid_fix_regex_count,negeted_bug_fix_regex,bq_classification,Is_bug,Bug_Justification,English_classification,Is_English,Comment,Type,Is_Refactor
UPES-CSI/GenericQuiz,4bb9498100b8cd66dba2447ff3b47ff142cb6f14,Added Participate.html Quiz Layout,"Added Participate.html
Quiz Layout
",0,0,0,FALSE,FALSE,Added,FALSE,TRUE,,adaptive,
mayqueenEMBEDDED/mq-kernel,9e495a2603334f9c8fcc6802300c22fc8a0eae02,ath9k: Remove ath9k rate control,"ath9k: Remove ath9k rate control

There is no benefit in retaining the legacy rate control module
in the driver codebase.

It is known to be buggy and has less than optimal performance
in real-world environments compared with minstrel. The only
reason that it was kept when we made the switch to minstrel
as default was that it showed higher throughput numbers in a
clean/ideal environment.

This is no longer the case and minstrel can push ath9k to
the same throughput levels. In TCP, with 3-stream cards, more than
295 Mbps can be obtained in open air, with 2-stream cards,
210 Mbps is easily reached. To test performance issues,
instead of using a broken rate control module, it is better
to use the fixed-rate interface provided by mac80211 anyway.

The ath9k RC has not received any bug fixes in years and is
just bit-rotting away - this patch removes it.

Signed-off-by: Sujith Manoharan <1240f8b9a8d4f8f6d54c4d059a9fef2470495ad4@qca.qualcomm.com>
Signed-off-by: John W. Linville <2a53bac7a5d324865ef46ec4c38b2c0fba1456b4@tuxdriver.com>
",1,0,1,FALSE,FALSE,"no bug fix, removed",TRUE,TRUE,,adaptive,
Orion116/kernel_samsung_lt03wifi,a852daa00ad91350fe603da47becaf3d5af4f2bd,[PATCH] i2c: writing-client doc update complement,"[PATCH] i2c: writing-client doc update complement

My latest update to the writing-clients i2c documentation file was
incomplete, here's the complement.

Large parts of this file are still way out-of-date, but at least now
the memory allocation and freeing instructions are consistent.

Signed-off-by: Jean Delvare <49ad6a9f5aa17024c23048df346d55bda6837e01@linux-fr.org>
Signed-off-by: Greg Kroah-Hartman <4645f7897fd33786a2ee1264d590b3c400559d85@suse.de>
",0,0,0,FALSE,FALSE,update,TRUE,TRUE,,adaptive,
pombredanne/bcm11351,360f9452def0be1d6e29cee07a0f0640cd1d7b22,hwmon: (adm9240) Add individual alarm files,"hwmon: (adm9240) Add individual alarm files

The new libsensors needs these individual alarm files.

Signed-off-by: Jean Delvare <49ad6a9f5aa17024c23048df346d55bda6837e01@linux-fr.org>
Tested-by: Grant Coady <5e41c6ebc945e14599d937c811b66fc81be96d8a@gmail.com>
Signed-off-by: Mark M. Hoffman <5aed555d2bd1319e6397948a784e5d0b93442eeb@lightlink.com>
",0,0,0,FALSE,FALSE,added,TRUE,TRUE,,adaptive,
danielschwierzeck/linux,f4a51222041c1c65bb248b1091f619bfeca27e54,[media] pvrusb2: get rid of warning: no previous prototype,"[media] pvrusb2: get rid of warning: no previous prototype

drivers/media/usb/pvrusb2/pvrusb2-v4l2.c:199:5: warning: no previous prototype for 'pvr2_s_std' [-Wmissing-prototypes]
drivers/media/usb/pvrusb2/pvrusb2-v4l2.c:368:5: warning: no previous prototype for 'pvr2_s_frequency' [-Wmissing-prototypes]

Acked-by: Mike Isely <2ea935d8c40c107fcce175c9ba49ff51e4d69087@pobox.com>
Signed-off-by: Mauro Carvalho Chehab <ad86ba2154032c9f55743a190faa2459a9d61d42@redhat.com>
",0,0,0,FALSE,FALSE,get rid,TRUE,TRUE,,perfective,FALSE
jcadduono/nethunter_kernel_klte,d77a283d9bc8c6327e9dd6059fe09104f3ad4bf9,[MIPS] i8259: Add disable method.,"[MIPS] i8259: Add disable method.

After 76d2160147f43f982dfe881404cfde9fd0a9da21, the qemu NE2000 was
frequently producing WATCHDOG timeouts.

Signed-off-by: Kyungmin Park <504c23c4986a3760712724894be3105092c27331@samsung.com>
Cc: Ralf Baechle <92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org>
Cc: Ingo Molnar <9dbbbf0688fedc85ad4da37637f1a64b8c718ee2@elte.hu>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Ralf Baechle <92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org>
",0,0,0,FALSE,TRUE,add,TRUE,TRUE,,corrective,FALSE
AOKP/kernel_motorola_msm8960dt,d77a283d9bc8c6327e9dd6059fe09104f3ad4bf9,[MIPS] i8259: Add disable method.,"[MIPS] i8259: Add disable method.

After 76d2160147f43f982dfe881404cfde9fd0a9da21, the qemu NE2000 was
frequently producing WATCHDOG timeouts.

Signed-off-by: Kyungmin Park <504c23c4986a3760712724894be3105092c27331@samsung.com>
Cc: Ralf Baechle <92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org>
Cc: Ingo Molnar <9dbbbf0688fedc85ad4da37637f1a64b8c718ee2@elte.hu>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Ralf Baechle <92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org>
",0,0,0,FALSE,,,TRUE,,duplicated,,
montekki/linux-2.6-acedia,1ce211a9dbf2a40b16132789735a127696bb6699,ALSA: ice1712/aureon.c: fix coding style,"ALSA: ice1712/aureon.c: fix coding style

before:
total: 304 errors, 137 warnings, 2259 lines checked

after:
total: 0 errors, 121 warnings, 2284 lines checked

Compile tested, size is different because of include was changed,
but without that change md5sum is different because of cmp cx,dx/cmp
dx,cx swap and __LINE__ was changed in printk function.

Signed-off-by: Alexander Beregalov <435b083b31024cbc6ffdb70c015fef51b502cce2@gmail.com>
Signed-off-by: Takashi Iwai <4596b3305151c7ee743192a95d394341e3d3b644@suse.de>
Signed-off-by: Jaroslav Kysela <72edd5e1a572f82f059ccbb83c92b74d6cb051ff@perex.cz>
",1,1,0,FALSE,FALSE,fixed coding,TRUE,TRUE,,perfective,FALSE
lloydchang/ubuntu-oneiric,9103eb7d3a78ec6e49e49412c45e3b0a2589cbce,[POWERPC] iSeries: Move find_Device_Node to avoid a forward declaration,"[POWERPC] iSeries: Move find_Device_Node to avoid a forward declaration

Also remove another unnecessary forward declaration.

Signed-off-by: Stephen Rothwell <4bf0fb350827ce8d86875e76c923a478597c3cef@canb.auug.org.au>
Signed-off-by: Paul Mackerras <19a0ba370c443ba08d20b5061586430ab449ee8c@samba.org>
",0,0,0,FALSE,FALSE,move,TRUE,TRUE,,perfective,TRUE
gingerboy92/android_kernel_xiaomi_msm8916---messedup,9103eb7d3a78ec6e49e49412c45e3b0a2589cbce,[POWERPC] iSeries: Move find_Device_Node to avoid a forward declaration,"[POWERPC] iSeries: Move find_Device_Node to avoid a forward declaration

Also remove another unnecessary forward declaration.

Signed-off-by: Stephen Rothwell <4bf0fb350827ce8d86875e76c923a478597c3cef@canb.auug.org.au>
Signed-off-by: Paul Mackerras <19a0ba370c443ba08d20b5061586430ab449ee8c@samba.org>
",0,0,0,FALSE,,,TRUE,,duplicated,,
