,token,commit,positive
0,,9799,0.659100940587
1,#,103,0.636856368564
2,##,45,0.535483870968
3,###,8,0.333333333333
4,####,4,0.4
5,"##,",1,0.0
6,#0192,1,1.0
7,#0c4twdgpgbakgpabqbyemb2wd2bbaffaxinrag4aouskaqunjjqfdsajcaj1wqugcf68am7aoaszqbzbuxiatcagmanig7qabmuiauwhqaukpxwcufia,1,0.0
8,#0cyuwxgnghgtiaea3w8odsceauvmdcauac4yaocaggdwaqafpalzwc2algb4jceeaufdnngbvujjqbxfgcmqmal4bkhgjwbnijdzoa5ssichoalnny6k+nu3a9lwka),1,1.0
9,#1,3,1.0
10,#1),1,1.0
11,#10,1,1.0
12,#100,2,1.0
13,#1001,1,1.0
14,#1003,2,0.5
15,#10042,1,0.0
16,#1007,1,0.0
17,#1009,2,0.666666666667
18,#101,4,0.5
19,#1012,1,1.0
20,#1013,1,1.0
21,#1016,1,1.0
22,#1017,2,0.5
23,#1018,1,0.0
24,#1020,1,1.0
25,#1021,2,1.0
26,#1026,1,0.0
27,#10277,1,0.0
28,#10289,1,0.0
29,#10290,1,1.0
30,#1033,1,1.0
31,#10375,1,1.0
32,#1038,1,0.0
33,#104,1,0.0
34,#10414,1,0.0
35,#1042,1,1.0
36,#1042030,2,0.5
37,#1043494,1,0.0
38,#1045,1,0.0
39,#1046,1,1.0
40,#1047,1,0.0
41,#10476,1,1.0
42,#105,3,0.333333333333
43,#1050,1,1.0
44,#1052,1,0.0
45,#1053,1,1.0
46,#105327),1,1.0
47,#10536,1,0.0
48,#10542,1,0.0
49,#10546,1,0.0
50,#1055,1,1.0
51,#1058,1,1.0
52,#1059,1,1.0
53,#106,1,1.0
54,#106054126],1,0.0
55,#10612,1,1.0
56,#10613,1,1.0
57,#10627,1,1.0
58,#10630,1,1.0
59,#10652,1,1.0
60,#10670,1,1.0
61,#1069,2,0.0
62,#107,2,0.5
63,#1070,1,0.0
64,#10704,1,1.0
65,#1072,1,1.0
66,#1073,1,0.0
67,"#1074,",1,1.0
68,#10747,1,0.0
69,#10756,1,1.0
70,#1076813,1,1.0
71,#108,2,1.0
72,#10809,2,0.5
73,#1083,1,0.0
74,#10833,1,1.0
75,#10841,1,0.0
76,#1084],1,0.0
77,#1086,1,0.0
78,#10866,1,1.0
79,#1088,1,1.0
80,#10889,1,1.0
81,#1089,1,0.0
82,#10890,1,1.0
83,#109,1,1.0
84,#1090,2,1.0
85,#1091,1,0.0
86,#1092043,1,1.0
87,#1093,1,0.0
88,#10944,1,1.0
89,#10960,1,1.0
90,#10977,1,1.0
91,#10983,1,0.0
92,#1099,1,0.0
93,#11,2,1.0
94,#1103,1,1.0
95,#11050,1,1.0
96,#11053,1,1.0
97,#11089,1,0.0
98,#111,2,1.0
99,#1110174,1,1.0
100,#1111,1,0.0
101,#1113,1,0.0
102,#11138,1,1.0
103,#11157,1,1.0
104,#112,1,1.0
105,#11203,1,0.0
106,#1122,3,1.0
107,#11240,1,1.0
108,#11280,1,1.0
109,#113,1,1.0
110,#1130,1,1.0
111,#11325,1,1.0
112,#11326,1,0.0
113,#1134,1,1.0
114,#1134),1,1.0
115,#11341,1,0.0
116,#1136,1,0.0
